opened_at,closed_at,duration_min,symbol,shares,entry,exit,stop,target,pnl,pnl_pct
2026-06-17T08:44:59.189507,2026-06-17T09:57:51.796853,72.9,QURE,5,44.78,47.24,44.78,50.05,12.3,5.49
2026-06-17T09:43:33.830507,2026-06-17T13:49:38.664059,246.1,HOOD,2,102.8,110.14,102.8,117.49,14.68,7.14
2026-06-17T08:44:59.189507,2026-06-17T14:32:17.506513,347.3,QURE,5,44.78,48.1,48.43,50.05,16.6,7.41
2026-06-17T09:43:33.830507,2026-06-17T14:55:53.451817,312.3,HOOD,2,102.8,105.43,102.8,117.49,5.26,2.56
2026-06-17T14:32:30.805573,2026-06-17T14:55:58.686781,23.5,TSM,1,435.32,434.06,416.55,481.28,-1.26,-0.29
