date,symbol,spot,net_gex,regime,gamma_flip,above_flip
2026-06-14,IWM,292.95,148899787.0,positive,292.03,True
2026-06-14,QQQ,721.34,14849554.0,positive,721.26,True
2026-06-14,SPY,741.75,-1171831313.0,negative,743.75,False
2026-06-15,IWM,294.66,633246048.0,positive,293.19,True
2026-06-15,QQQ,744.0,5024212395.0,positive,724.8,True
2026-06-15,SPY,754.68,9309224988.0,positive,746.61,True
2026-06-16,IWM,292.08,-588797384.0,negative,293.18,False
2026-06-16,QQQ,729.86,846504793.0,positive,728.28,True
2026-06-16,SPY,750.35,1082361303.0,positive,749.61,True
